OrderID,Date,Product,Region,Quantity,UnitPrice,TotalSale
1,2026-01-01,Wireless Mouse,East,4,799,3107.54
2,2026-01-01,Mechanical Keyboard,North,10,2499,24794.88
3,2026-01-01,Wireless Mouse,North,4,799,3110.56
4,2026-01-02,Laptop Stand,West,4,999,3975.7
5,2026-01-02,Webcam HD,North,3,1799,5503.94
6,2026-01-02,Bluetooth Speaker,East,3,1599,4660.44
7,2026-01-03,Mechanical Keyboard,North,7,2499,16787.54
8,2026-01-03,Bluetooth Speaker,East,1,1599,1635.73
9,2026-01-03,Mechanical Keyboard,West,2,2499,5024.01
10,2026-01-03,Bluetooth Speaker,South,12,1599,18362.06
11,2026-01-03,Laptop Stand,East,2,999,2068.99
12,2026-01-04,Power Bank,East,8,1199,9722.15
13,2026-01-04,Bluetooth Speaker,South,6,1599,9455.15
14,2026-01-04,Webcam HD,North,10,1799,18232.83
15,2026-01-05,USB-C Hub,West,7,1299,8883.81
16,2026-01-05,Laptop Stand,East,1,999,971.93
17,2026-01-05,Wireless Mouse,East,7,799,5463.1
18,2026-01-05,Laptop Stand,East,4,999,4058.11
19,2026-01-06,Monitor Arm,South,5,2199,10598.77
20,2026-01-06,Webcam HD,West,10,1799,17809.02
21,2026-01-06,Laptop Stand,South,9,999,8985.17
22,2026-01-06,Wireless Mouse,North,3,799,2427.55
23,2026-01-06,Power Bank,North,7,1199,8293.64
24,2026-01-06,Monitor Arm,East,9,2199,20505.02
25,2026-01-07,Mechanical Keyboard,East,11,2499,27049.66
26,2026-01-07,Webcam HD,West,3,1799,5372.02
27,2026-01-07,Webcam HD,South,9,1799,16859.09
28,2026-01-08,Laptop Stand,South,6,999,6151.35
29,2026-01-08,Wireless Mouse,East,8,799,6084.85
30,2026-01-08,Bluetooth Speaker,East,4,1599,6113.25
31,2026-01-08,Mechanical Keyboard,North,12,2499,29945.99
32,2026-01-08,Mechanical Keyboard,South,3,2499,7616.77
33,2026-01-09,Webcam HD,West,4,1799,7504.65
34,2026-01-09,Laptop Stand,East,7,999,7339.26
35,2026-01-09,Bluetooth Speaker,West,9,1599,14321.18
36,2026-01-09,Laptop Stand,South,2,999,1965.65
37,2026-01-10,Laptop Stand,North,2,999,2039.53
38,2026-01-10,Wireless Mouse,South,2,799,1662.79
39,2026-01-10,Bluetooth Speaker,North,9,1599,14013.96
40,2026-01-10,Monitor Arm,South,9,2199,19063.31
41,2026-01-11,Laptop Stand,West,7,999,6776.5
42,2026-01-11,Mechanical Keyboard,West,6,2499,14879.41
43,2026-01-11,Monitor Arm,North,11,2199,24560.19
44,2026-01-11,Mechanical Keyboard,North,7,2499,17892.21
45,2026-01-11,Mechanical Keyboard,South,4,2499,9686.33
46,2026-01-11,Monitor Arm,South,7,2199,14905.79
47,2026-01-12,Laptop Stand,North,8,999,8238.17
48,2026-01-12,Mechanical Keyboard,North,11,2499,28861.48
49,2026-01-12,Wireless Mouse,North,4,799,3089.35
50,2026-01-12,Monitor Arm,West,4,2199,9116.75
51,2026-01-12,Wireless Mouse,South,7,799,5314.56
52,2026-01-12,Power Bank,East,8,1199,9386.01
53,2026-01-13,USB-C Hub,South,5,1299,6311.65
54,2026-01-13,Wireless Mouse,North,12,799,9409.28
55,2026-01-13,Wireless Mouse,West,9,799,7492.58
56,2026-01-13,USB-C Hub,North,9,1299,11200.11
57,2026-01-13,USB-C Hub,North,10,1299,12428.78
58,2026-01-13,Laptop Stand,West,2,999,2086.23
59,2026-01-14,Wireless Mouse,North,7,799,5681.02
60,2026-01-14,Bluetooth Speaker,East,4,1599,6504.56
61,2026-01-14,Bluetooth Speaker,South,5,1599,7911.68
62,2026-01-14,Webcam HD,West,6,1799,11257.08
63,2026-01-15,Wireless Mouse,West,10,799,8388.27
64,2026-01-15,Mechanical Keyboard,North,9,2499,21845.86
65,2026-01-15,Webcam HD,South,6,1799,11205.1
66,2026-01-16,Bluetooth Speaker,East,3,1599,4767.35
67,2026-01-16,Webcam HD,North,11,1799,20416.52
68,2026-01-16,Webcam HD,North,3,1799,5269.88
69,2026-01-16,Mechanical Keyboard,South,5,2499,12222.3
70,2026-01-17,Bluetooth Speaker,South,11,1599,17825.11
71,2026-01-17,Webcam HD,West,5,1799,9359.6
72,2026-01-17,Wireless Mouse,North,11,799,8721.83
73,2026-01-17,Webcam HD,North,1,1799,1769.06
74,2026-01-18,Webcam HD,South,12,1799,21462.43
75,2026-01-18,Power Bank,North,2,1199,2296.14
76,2026-01-18,USB-C Hub,North,6,1299,7858.31
77,2026-01-18,USB-C Hub,West,3,1299,3718.45
78,2026-01-19,Wireless Mouse,East,4,799,3254.19
79,2026-01-19,Mechanical Keyboard,East,9,2499,23354.96
80,2026-01-19,Power Bank,South,4,1199,4970.86
81,2026-01-19,USB-C Hub,West,1,1299,1257.35
82,2026-01-19,Bluetooth Speaker,West,11,1599,18229.35
83,2026-01-20,Webcam HD,South,12,1799,20741.96
84,2026-01-20,Wireless Mouse,West,4,799,3099.98
85,2026-01-20,Monitor Arm,East,5,2199,11347.43
86,2026-01-20,Laptop Stand,South,1,999,1014.99
87,2026-01-21,Bluetooth Speaker,East,2,1599,3347.31
88,2026-01-21,Webcam HD,East,11,1799,19807.61
89,2026-01-21,Bluetooth Speaker,North,2,1599,3318.58
90,2026-01-21,Webcam HD,South,10,1799,18822.1
91,2026-01-21,Webcam HD,North,2,1799,3632.75
92,2026-01-21,Bluetooth Speaker,East,7,1599,11311.88
93,2026-01-22,Power Bank,South,5,1199,5721.86
94,2026-01-22,Power Bank,North,9,1199,11250.24
95,2026-01-22,Laptop Stand,East,7,999,6692.28
96,2026-01-23,Bluetooth Speaker,North,12,1599,19955.61
97,2026-01-23,Webcam HD,West,6,1799,10688.65
98,2026-01-23,Webcam HD,South,4,1799,7138.75
99,2026-01-23,Power Bank,South,10,1199,12072.86
100,2026-01-23,Power Bank,North,5,1199,5867.25
101,2026-01-24,Bluetooth Speaker,West,8,1599,12718.01
102,2026-01-24,Laptop Stand,West,12,999,11592.03
103,2026-01-24,Mechanical Keyboard,East,9,2499,22859.52
104,2026-01-24,Bluetooth Speaker,North,4,1599,6506.52
105,2026-01-24,Laptop Stand,South,3,999,2854.47
106,2026-01-24,Laptop Stand,West,10,999,10339.39
107,2026-01-25,Monitor Arm,West,11,2199,24372.04
108,2026-01-25,Power Bank,West,7,1199,8178.13
109,2026-01-25,Wireless Mouse,North,7,799,5435.75
110,2026-01-26,Wireless Mouse,South,2,799,1591.04
111,2026-01-26,Monitor Arm,East,8,2199,17790.18
112,2026-01-26,Power Bank,West,3,1199,3684.64
113,2026-01-26,Monitor Arm,West,5,2199,11271.83
114,2026-01-26,Webcam HD,West,11,1799,19272.99
115,2026-01-26,Monitor Arm,North,12,2199,25822.58
116,2026-01-27,Bluetooth Speaker,East,9,1599,13787.41
117,2026-01-27,USB-C Hub,South,7,1299,9269.36
118,2026-01-27,Laptop Stand,North,7,999,6928.38
119,2026-01-27,Monitor Arm,West,1,2199,2134.53
120,2026-01-27,Power Bank,West,10,1199,12524.83
121,2026-01-28,Power Bank,West,1,1199,1252.08
122,2026-01-28,Webcam HD,West,7,1799,12641.13
123,2026-01-28,Laptop Stand,West,4,999,3905.26
124,2026-01-29,Wireless Mouse,West,6,799,4874.96
125,2026-01-29,Power Bank,South,8,1199,9994.42
126,2026-01-29,Wireless Mouse,West,10,799,8041.45
127,2026-01-29,Wireless Mouse,North,11,799,8726.26
128,2026-01-29,Monitor Arm,South,1,2199,2146.26
129,2026-01-29,Bluetooth Speaker,South,8,1599,12570.5
130,2026-01-30,Webcam HD,West,5,1799,9296.25
131,2026-01-30,Monitor Arm,North,12,2199,26492.02
132,2026-01-30,Bluetooth Speaker,South,11,1599,16830.24
133,2026-01-30,Wireless Mouse,North,4,799,3099.92
134,2026-01-30,Wireless Mouse,South,4,799,3076.54
135,2026-01-30,Mechanical Keyboard,South,8,2499,20390.77
136,2026-01-31,USB-C Hub,North,3,1299,4078.1
137,2026-01-31,Mechanical Keyboard,North,5,2499,12589.71
138,2026-01-31,Power Bank,West,12,1199,13953.96
139,2026-01-31,Laptop Stand,North,12,999,12314.65
140,2026-01-31,Mechanical Keyboard,North,6,2499,15043.1
141,2026-02-01,Mechanical Keyboard,East,1,2499,2586.36
142,2026-02-01,Monitor Arm,North,7,2199,16102.29
143,2026-02-01,Monitor Arm,South,7,2199,14894.48
144,2026-02-01,Webcam HD,West,8,1799,14299.28
145,2026-02-01,Webcam HD,East,4,1799,7433.99
146,2026-02-02,Webcam HD,West,4,1799,7376.24
147,2026-02-02,Power Bank,East,1,1199,1198.32
148,2026-02-02,Bluetooth Speaker,South,8,1599,12423.74
149,2026-02-03,Bluetooth Speaker,East,10,1599,16311.69
150,2026-02-03,Webcam HD,North,9,1799,16916.46
151,2026-02-03,Mechanical Keyboard,South,12,2499,29707.4
152,2026-02-03,Laptop Stand,West,11,999,11221.79
153,2026-02-03,Monitor Arm,North,2,2199,4307.5
154,2026-02-04,Laptop Stand,East,11,999,11078.62
155,2026-02-04,Monitor Arm,East,7,2199,16157.46
156,2026-02-04,Bluetooth Speaker,East,12,1599,19099.25
157,2026-02-04,Webcam HD,East,4,1799,6923.02
158,2026-02-04,Laptop Stand,East,2,999,2046.53
159,2026-02-04,USB-C Hub,South,4,1299,5319.98
160,2026-02-05,Webcam HD,North,4,1799,7049.38
161,2026-02-05,Bluetooth Speaker,South,5,1599,7606.56
162,2026-02-05,USB-C Hub,East,1,1299,1360.61
163,2026-02-05,Webcam HD,South,11,1799,20518.15
